"Species_name","A_content","C_content","G_content","T_content","genome_length","G_plus_C","G_minus_C","A_plus_T","A_minus_T","GC_ratio","AT_ratio","GC_skew","AT_skew","id"
"Abaca bunchy top virus DNA-C",0.3064039408867,0.164532019704433,0.226600985221675,0.302463054187192,1015,0.391133004926108,0.0620689655172414,0.608866995073892,0.00394088669950743,1.37724550898204,1.01302931596091,0.158690176322418,0.00647249190938518,1
"Abalone asfarvirus DNA, segment 1",0.335923856657709,0.159671609282064,0.156591335279448,0.346724147930481,155181,0.316262944561512,-0.00308027400261629,0.682648004588191,-0.0108002912727718,0.980708693195577,0.968850478580058,-0.00973959819063528,-0.0158211716729284,2
"Abalone herpesvirus Taiwan/2004",0.264142,0.2376802,0.2296519,0.2685259,18933,0.4673322,-0.00802831,0.5326678,-0.00438388,0.9662222,0.9836743,-0.01717902,-0.008230045,3
"Abalone shriveling syndrome-associated virus",0.306992446784161,0.203650720988785,0.191548409246967,0.297808422980087,34952,0.395199130235752,-0.0121023117418173,0.604800869764248,0.00918402380407418,0.940573194717617,1.0308386972812,-0.0306233258524578,0.0151852027058991,4
"Abraxas grossulariata nucleopolyhedrovirus isolate 112 polyhedrin gene",0.256120527306968,0.271186440677966,0.267419962335217,0.205273069679849,531,0.538606403013183,-0.00376647834274951,0.461393596986817,0.0508474576271186,0.986111111111111,1.24770642201835,-0.00699300699300696,0.110204081632653,5
"Abutilon Brazil virus DNA A segment",0.24500565397663,0.227666792310592,0.248398039954768,0.27892951375801,2653,0.47606483226536,0.0207312476441764,0.52393516773464,-0.0339238597813795,1.09105960264901,0.878378378378379,0.0435471100554236,-0.0647482014388489,6
"Abutilon geminivirus Guatemala field isolate coat protein (AV1) gene",0.2757974,0.2082552,0.2682927,0.2476548,533,0.4765478,0.06003752,0.5234522,0.02814259,1.288288,1.113636,0.1259843,0.05376344,7
"Abutilon golden mosaic Yucatan virus isolate Conkal-2007 segment A",0.248763788512743,0.226321795359452,0.246101179155572,0.278813236972233,2629,0.472422974515025,0.0197793837961202,0.527577025484975,-0.0300494484594903,1.08739495798319,0.892223738062756,0.0418679549114332,-0.056957462148522,8
"Abutilon mosaic Bolivia virus DNA-A",0.248803827751196,0.226352594773647,0.237394184762606,0.287449392712551,2717,0.463746779536253,0.0110415899889584,0.536253220463747,-0.0386455649613544,1.04878048780488,0.865556978233035,0.0238095238095238,-0.0720658888126287,9
"Acalypha yellow mosaic Siliguri virus coat protein (AV1) gene, partial cds; replication enhancer protein (AC3) and transcription activator protein (AC2) genes, complete cds; and replication associated protein (AC1) gene",0.2495908,0.2070376,0.2528642,0.2905074,1222,0.4599018,0.04582651,0.5400982,-0.04091653,1.221344,0.8591549,0.09964413,-0.07575758,10
"Acanthamoeba polyphaga lentillevirus isolate lvs contig00001",0.3241861,0.1404544,0.1145864,0.4207731,10167,0.2550408,-0.025868,0.7449592,-0.096587,0.8158263,0.7704535,-0.1014269,-0.1296541,12
"Acanthocystis turfacea Chlorella virus 1",0.24608136866553,0.247296448149087,0.246734039930983,0.259884671598732,288047,0.49403048808007,-0.0005624082181033,0.505966040264262,-0.0138033029332019,0.997725773166931,0.946886813876755,-0.00113840791544863,-0.0272810857542781,13
"Acanthomoeba polyphaga mimivirus DNA polymerase family B protein precursor (polB) gene",0.412981,0.1265556,0.1614015,0.2990618,5223,0.2879571,0.03484587,0.7120429,0.1139192,1.27534,1.380922,0.1210106,0.1599892,14
"Acartia tonsa copepod circovirus isolate 154_D11",0.27125748502994,0.277245508982036,0.24251497005988,0.208982035928144,1670,0.519760479041916,-0.0347305389221557,0.480239520958084,0.0622754491017964,0.874730021598272,1.29799426934097,-0.0668202764976959,0.129675810473815,15
"Acaryochloris phage A-HIS1",0.263705460622069,0.234776202540744,0.23569259518804,0.265825741649147,55653,0.470468797728784,0.000916392647296649,0.529531202271216,-0.00212028102707851,1.00390326037043,0.992023793429769,0.00194782874384144,-0.00400407193756363,16
"Achaea faber nucleopolyhedrovirus isolate 64 lef-8 gene",0.295081967213115,0.230874316939891,0.207650273224044,0.266393442622951,732,0.438524590163934,-0.023224043715847,0.561475409836066,0.0286885245901639,0.899408284023669,1.10769230769231,-0.0529595015576324,0.0510948905109489,17
"Achaea janata granulovirus granulin gene",0.2702703,0.2691441,0.2263514,0.2342342,888,0.4954955,-0.04279279,0.5045045,0.03603604,0.8410042,1.153846,-0.08636364,0.07142857,18
"Acheta domestica densovirus",0.2879263,0.1887558,0.2117972,0.3115207,5425,0.400553,0.02304147,0.599447,-0.02359447,1.12207,0.9242604,0.05752416,-0.03936039,19
